row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Blank_B.mzML Peak area,t2_BS_C.mzML Peak area,t0_BS_C.mzML Peak area,Blank_A.mzML Peak area,t1_BS_C.mzML Peak area,t5_BS_C.mzML Peak area,t3_BS_3.mzML Peak area,t2_BS_2.mzML Peak area,t3_BS_C.mzML Peak area,t2_BS_1.mzML Peak area,t3_BS_2.mzML Peak area,t1_BS_1.mzML Peak area,t2_BS_3.mzML Peak area,t1_BS_3.mzML Peak area,t1_BS_2.mzML Peak area,t3_BS_1.mzML Peak area,t4_BS_C.mzML Peak area,t6_BS_C.mzML Peak area,t4_BS_2.mzML Peak area,t0_BS_3.mzML Peak area,t0_BS_2.mzML Peak area,t7_BS_C.mzML Peak area,t8_BS_C.mzML Peak area,t7_BS_2.mzML Peak area,t9_BS_C.mzML Peak area,t8_BS_1.mzML Peak area,t7_BS_3.mzML Peak area,t7_BS_1.mzML Peak area,t8_BS_2.mzML Peak area,t6_BS_1.mzML Peak area,t4_BS_3.mzML Peak area,t4_BS_1.mzML Peak area,t5_BS_3.mzML Peak area,t6_BS_2.mzML Peak area,t5_BS_1.mzML Peak area,t6_BS_3.mzML Peak area,t0_BS_1.mzML Peak area,t9_BS_1.mzML Peak area,t5_BS_2.mzML Peak area,t8_BS_3.mzML Peak area,t9_BS_3.mzML Peak area,t9_BS_2.mzML Peak area,
2,284.04899393888024,0.06921104,,,,,,,,,,,18021.572,16982.873,20755.18,24335.373,19328.701,23160.66,65528.32,4663.6113,22136.297,4262.3906,4854.831,20930.334,20200.516,18188.453,5378.2334,20001.395,21512.127,16409.041,23366.633,10024.892,3897.5051,24439.492,26823.367,23768.797,6967.465,27183.98,10403.443,4176.5664,23442.156,23277.852,1496.7511,21779.809,21375.271,23021.77,18208.166,19423.738,17433.18,25643.275,19439.273,28515.1,27789.332,24276.264,
8,281.05085512249485,0.10351847,,,,,,,,,,,1402257.6,1537228.2,228957.92,1604372.0,1559159.1,263653.38,266014.78,238900.69,1652363.8,3636798.2,1617942.0,1455835.2,1604511.1,1527723.4,1458055.5,825967.75,1739549.4,1678684.9,1672933.8,1447067.4,1486936.5,1755851.5,2078173.5,1716666.4,1151338.0,1965479.8,1800271.5,1689532.1,1201723.6,1711743.5,1690640.4,1649770.6,1716907.5,1725159.0,1687922.4,1711116.9,1525560.8,1988580.5,1680300.8,2050065.2,1969012.2,1937270.8,
10,267.0352322650569,0.12503392,,,,,,,,,,,83519.48,96762.875,84678.31,90303.766,81488.6,115550.96,107415.57,82006.62,12551.383,96853.07,103621.76,86706.234,11919.039,90752.54,68145.16,42062.348,118136.625,122509.375,113633.15,85716.81,85246.63,16367.007,160248.84,132734.95,84506.48,155326.19,139533.12,127245.12,85650.94,115987.305,112845.22,60886.793,122031.086,127510.91,8224.141,123302.27,83531.945,166977.81,117669.37,155001.64,159289.83,155360.7,
13,227.02200741561524,0.035472337,,,,,,,,,,,21758.146,26107.27,29125.81,37453.914,20693.07,64607.332,34512.42,27379.434,62945.52,32709.602,20306.172,18615.791,30139.379,58795.977,29771.379,15339.551,25817.295,25125.578,64277.453,24547.158,38914.574,29987.09,31790.512,46514.746,22575.89,22784.834,36440.887,12733.822,42869.934,65546.17,21401.389,54592.61,63844.68,43124.887,21728.576,28306.744,21987.088,77407.75,52930.566,41270.758,74911.14,40599.867,
14,239.09472540930125,0.034551226,,,,,,,,,,,94997.12,53176.098,100849.484,72088.13,95871.805,90154.41,91077.766,41458.566,89611.88,89120.625,90527.45,43122.74,90879.445,40577.707,48731.137,36146.797,35073.895,83338.484,89464.58,100984.164,42001.75,65580.69,43131.734,37394.45,53665.6,57404.07,25221.488,79622.87,58640.04,88084.984,90738.41,29462.033,90778.2,89629.49,89971.61,69065.44,92206.42,8322.643,89443.13,85359.164,53224.133,98724.914,
16,302.0586913798202,0.041101526,,,,,,,,,,,27851.371,48689.27,51742.97,45895.418,32060.047,59807.74,29840.879,69905.13,75531.13,35575.457,75338.79,60733.656,56628.723,63773.03,42342.805,20641.354,57457.184,76996.9,77884.37,23531.217,17543.078,15951.289,89124.41,65323.0,27219.08,36564.742,77429.06,60160.406,78218.94,65682.266,68251.516,23596.02,72733.805,38676.008,79390.1,34950.793,66040.79,65106.055,23823.498,50425.254,37610.273,85097.125,
17,284.048988772768,0.144826,,,,,,,,,,,46754.98,50672.24,121834.44,17150.455,47317.01,6335.0996,48698.91,38067.402,28999.225,51286.113,60386.023,46161.92,52515.562,42947.156,44965.72,39648.625,48381.203,17690.008,26977.193,38635.613,37164.42,35182.945,67354.22,33911.11,19355.408,45409.285,54768.35,34216.14,25704.719,40430.1,51452.844,18926.494,46638.375,57011.062,55313.52,30097.145,88282.33,66346.89,54409.902,24719.068,23812.424,16291.891,
18,161.08210302485315,0.10789733,,,,,,,,,,,112627.29,365361.75,93340.8,134166.88,160842.77,247397.0,247066.05,149599.12,197080.0,345021.44,208442.56,468871.0,137436.78,201870.38,456842.9,218516.62,191438.22,292183.3,106408.47,98162.5,112709.016,197466.33,51648.54,136238.6,155192.48,93196.93,206028.89,265839.8,90589.734,232417.33,128125.22,189079.89,283756.66,151950.4,129645.766,87008.97,232711.33,102609.22,199213.33,157483.1,98485.51,56055.54,
20,250.11837407732773,0.15774341,,,,,,,,,,,31490.281,1037.0643,35365.45,47691.76,23914.863,11378.669,2152.8574,14001.582,14188.106,4442.9033,8673.673,15665.444,6622.2573,7695.4863,10531.228,4412.2266,6513.797,10537.848,8128.3936,4915.633,10089.8955,4755.514,6952.172,3395.9172,4332.001,2057.1553,2932.5972,12409.641,7123.3003,6844.9956,5874.101,4625.251,12908.349,1565.1207,11058.474,7628.226,42024.11,11411.436,13965.528,1451.5889,5345.74,12572.024,
24,267.0352279653463,0.2027827,,,,,,,,,,,93227.84,112670.34,97713.25,45247.344,108483.336,133235.5,124299.16,50120.332,121174.47,112030.445,120987.83,98913.62,113777.445,106016.81,37982.574,113737.94,135655.22,143887.02,115884.87,97933.016,95485.06,148529.23,187690.31,151114.47,165800.45,184784.97,159979.69,147299.48,169355.86,145299.11,131623.7,23822.502,142169.42,147898.23,139861.42,148343.28,104074.29,196138.83,135326.48,190848.27,191137.67,190056.0,
