row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Blank_B.mzML Peak area,t2_BS_C.mzML Peak area,t0_BS_C.mzML Peak area,Blank_A.mzML Peak area,t1_BS_C.mzML Peak area,t5_BS_C.mzML Peak area,t3_BS_3.mzML Peak area,t2_BS_2.mzML Peak area,t3_BS_C.mzML Peak area,t2_BS_1.mzML Peak area,t3_BS_2.mzML Peak area,t1_BS_1.mzML Peak area,t2_BS_3.mzML Peak area,t1_BS_3.mzML Peak area,t1_BS_2.mzML Peak area,t3_BS_1.mzML Peak area,t4_BS_C.mzML Peak area,t6_BS_C.mzML Peak area,t4_BS_2.mzML Peak area,t0_BS_3.mzML Peak area,t0_BS_2.mzML Peak area,t7_BS_C.mzML Peak area,t8_BS_C.mzML Peak area,t7_BS_2.mzML Peak area,t9_BS_C.mzML Peak area,t8_BS_1.mzML Peak area,t7_BS_3.mzML Peak area,t7_BS_1.mzML Peak area,t8_BS_2.mzML Peak area,t6_BS_1.mzML Peak area,t4_BS_3.mzML Peak area,t4_BS_1.mzML Peak area,t5_BS_3.mzML Peak area,t6_BS_2.mzML Peak area,t5_BS_1.mzML Peak area,t6_BS_3.mzML Peak area,t0_BS_1.mzML Peak area,t9_BS_1.mzML Peak area,t5_BS_2.mzML Peak area,t8_BS_3.mzML Peak area,t9_BS_3.mzML Peak area,t9_BS_2.mzML Peak area,
2,284.0489561451769,0.00635683,,,,,,,,,,,0,0,0,24335.373,0,0,65528.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4176.5664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,281.05081876580823,0.069245346,,,,,,,,,,,0,0,0,1604372.0,0,0,0,0,0,3636798.2,0,0,0,0,0,825967.75,0,0,0,0,0,0,0,0,1151338.0,0,0,0,1201723.6,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,267.03506779933355,0.096246555,,,,,,,,,,,0,0,0,90303.766,0,0,0,0,0,0,0,0,0,0,0,42062.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,227.0219931120028,0.114981666,,,,,,,,,,,0,0,0,37453.914,0,0,0,0,0,0,0,0,0,0,0,15339.551,0,0,0,0,0,0,0,0,22575.89,0,0,0,42869.934,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,239.09474327337207,0.11623713,,,,,,,,,,,0,0,0,72088.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53665.6,0,0,0,58640.04,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,302.0585936812227,0.12748633,,,,,,,,,,,0,0,0,45895.418,0,0,0,0,0,0,0,0,0,0,0,20641.354,0,0,0,0,0,0,0,0,27219.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,284.04887362829714,0.14102842,,,,,,,,,,,0,0,121834.44,17150.455,0,0,0,0,0,0,60386.023,0,0,0,0,0,0,0,0,38635.613,0,0,0,0,0,0,0,0,25704.719,0,0,0,0,0,0,0,88282.33,0,0,0,0,0,
18,161.08216209340299,0.14405741,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106408.47,0,0,0,51648.54,136238.6,0,0,0,0,90589.734,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,250.11821473523165,0.17694609,,,,,,,,,,,0,0,0,47691.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,267.0350524866283,0.18065521,,,,,,,,,,,0,0,0,45247.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,284.0488609503844,0.18596451,,,,,,,,,,,0,0,0,18446.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,266.9990316396301,0.18848121,,,,,,,,,,,0,0,0,23756.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55849.34,0,110131.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,284.0488556554121,0.19492245,,,,,,,,,,,0,0,0,20749.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,179.0925182298967,0.2059272,,,,,,,,,,,0,0,0,52717.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,281.0507158162773,0.21940929,,,,,,,,,,,4957039.0,0,0,1160576.2,5378667.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4952906.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,161.08210949058187,0.23544967,,,,,,,,,,,172294.25,0,0,254099.7,0,0,217732.1,0,0,88754.18,0,0,0,0,0,0,204144.86,0,0,0,0,0,0,271942.44,172093.22,0,0,0,0,0,260505.0,109847.22,0,0,0,0,0,0,0,0,176747.69,0,
36,227.0218924279452,0.24148057,,,,,,,,,,,0,0,0,45809.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,267.03515361040564,0.2592245,,,,,,,,,,,0,0,0,87100.59,270669.12,0,0,0,0,188714.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,179.09252903961834,0.26882547,,,,,,,,,,,0,0,0,24128.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,445.11994505289965,0.27517855,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111718.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,239.09459730878476,0.27606767,,,,,,,,,,,0,0,0,89179.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,302.05858246853904,0.27606767,,,,,,,,,,,0,0,0,45985.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,284.04897435007985,0.2819436,,,,,,,,,,,0,0,0,14612.701,0,137709.25,0,123643.766,0,87621.97,0,0,0,127769.734,0,0,0,138757.31,0,0,0,0,0,0,0,0,0,0,0,0,95007.84,0,140709.11,0,0,0,0,0,0,0,0,158943.36,
48,281.05076829139324,0.29333732,,,,,,,,,,,0,0,4975924.0,1636845.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3831062.2,0,0,0,0,0,0,0,0,0,0,0,
52,227.0219199898945,0.32929665,,,,,,,,,,,0,0,0,37402.3,0,0,0,0,0,92895.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,302.0586386864318,0.33534443,,,,,,,,,,,0,0,0,48358.15,0,0,0,0,0,92388.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133040.1,0,0,0,0,0,0,0,0,0,0,0,
55,239.09466777127508,0.33759403,,,,,,,,,,,0,0,0,60237.3,0,0,0,0,0,140903.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131331.16,0,0,0,0,0,0,0,0,0,0,0,
56,267.0352106107177,0.3485471,,,,,,,,,,,0,0,0,50824.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404931.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
